,,0.5,1,2,4
PYRUVATE,Pyruvate,1.19,1.32,0.86,0.68
LACTATE,Lactate,0.87,1.26,0.98,0.67
ETHANOL-AMINE,Ethanolamine,1.31,1.45,1.18,1.22
GLYCEROL,Glycerol,1.61,0.72,0.68,1.91
SUC,Succinate,0.75,1.08,0.8,0.55
GLYCERATE,Glycerate,1.17,0.82,0.58,0.97
FUM,Fumarate,0.82,0.92,0.72,0.7
CADAVERINE,Cadaverine,1.06,1,1.07,0.89
MAL,Malate,0.79,1.11,0.87,0.73
4-AMINO-BUTYRATE,4-Aminobutyrate,0.87,1.26,1.21,0.87
CYS,Cysteine,1.03,1.5,1.34,0.97
2-KETOGLUTARATE,⍺-Ketoglutarate,1.17,0.99,0.9,0.91
CIS-ACONITATE,Aconitate,1.5,0.91,1,1.71
PUTRESCINE,Putrescine,0.6,0.94,0.82,0.92
SHIKIMATE,Shikimate,0.71,0.9,0.6,0.54
CIT,Citrate,1.1,1.15,1.6,1.24
FRU,D-fructose,0.72,1.05,0.89,0.64
GLUCOSE,Glucose,0.97,1.02,1.02,0.85
LYS,Lysine,1.32,1.74,1.85,1.28
TYR,Tyrosine,1.81,3.71,3.64,1.25
GLUCONATE,Gluconate,0.95,1.08,1,0.85
CPD0-1083,Galactonate,1.07,0.94,0.95,0.9
URATE,Urate,0.76,1.52,2.5,0.74
SUCROSE,Sucrose,0.86,1.1,1.49,0.89
TREHALOSE,Trehalose,1.11,0.96,0.88,0.75
L-ASPARTATE,Aspartate,0.77,0.74,0.8,1.14
ASN,Asparagine,1.01,0.97,1.17,0.95
SER,Serine,0.79,0.82,0.94,0.9
GLY,Glycine,0.91,0.85,0.96,0.82
L-ALPHA-ALANINE,Alanine,0.92,0.86,0.85,0.91
GLT,Glutamate,0.46,0.55,0.48,0.71
GLN,Glutamine,0.45,0.63,0.61,0.73
THR,Threonine,0.9,1.04,1.08,0.98
PRO,Proline,0.96,1.04,0.93,0.8
VAL,Valine,0.81,1.01,1.01,1.01
TRP,Tryptophan,1.31,2.34,2.18,1.11
ILE,Isoleucine,1.07,1.21,1.2,1.12
LEU,Leucine,1.11,1.15,1.22,1.2
PHE,Phenylalanine,1.47,1.88,1.6,1.31
FORMATE,Formate,1.02,0.92,1.1,1.09
,,0.93,0.9,,